episode,reward,makespan,load_balance,stability,td_error,meta_critic_loss,meta_actor_loss,fpga_critic_loss,fpga_actor_loss,fog_gpu_critic_loss,fog_gpu_actor_loss,cloud_critic_loss,cloud_actor_loss
1,1424.8200949352085,1.9375263512240664,1.9459360106436514,1.0,0.4255083203315735,1.0372838973999023,0.9048920273780823,0,0,0,0,0,0
2,1144.0924724223958,1.3678386039354655,1.9510650570032375,1.0,0.3716607640186945,0.8959645628929138,0.9625203609466553,0,0,0,0,0,0
3,1057.4695460000219,1.603236655701241,1.933771915649114,1.0,0.39660224318504333,0.9804766774177551,0.5541974306106567,0,0,0,0,0,0
4,938.6716882236101,1.450986080092059,1.9377359780836232,1.0,0.3953929543495178,0.9407376050949097,0.6974057555198669,0,0,0,0,0,0
5,1276.1011028271241,1.780389389557265,1.9482060149594782,1.0,0.41291964550813043,0.9941521286964417,1.0151786804199219,0,0,0,0,0,0
6,1252.7996651364733,1.8372453082210243,1.9365159680051285,1.0,0.3919389570752779,0.9765641689300537,0.991724967956543,0,0,0,0,0,0
7,1257.6189972115176,1.4659524723059314,1.9406035719210037,1.0,0.3979169577360153,0.9812745451927185,0.7281595468521118,0,0,0,0,0,0
8,1044.947521503819,1.6324041886234248,1.9202486058946269,1.0,0.41108890871206916,1.0125977993011475,0.697171688079834,0,0,0,0,0,0
9,1180.9921996465475,1.9975659338287022,1.9088652498619814,0.9861533562665394,0.3821540201703707,0.912070631980896,0.7350150942802429,0,0,0,0,0,0
10,1142.7204353319084,1.5941987356484066,1.930765676738475,0.9915035387305662,0.39354708294073737,0.9825513362884521,0.6468874216079712,0,0,0,0,0,0
11,1080.7687162314246,1.70715225521684,1.926759223680787,0.9961740844012128,0.42106266071399057,1.059227466583252,0.9145785570144653,0,0,0,0,0,0
12,1302.547974359453,1.5859310137489973,1.932652386406977,0.9945388647377206,0.41490282118320465,1.015590786933899,0.9117688536643982,0,0,0,0,0,0
13,1087.1526355150434,1.5500081024743424,1.9267141549471982,0.9919148364950175,0.3888360857963562,0.9566206336021423,0.8390222787857056,0,0,0,0,0,0
14,1203.9397885763287,1.8439520388077395,1.937416827011368,0.9899952905463885,0.3903699219226837,0.9251735806465149,0.9980074167251587,0,0,0,0,0,0
15,1110.8023690859545,1.6430740544116085,1.9244564423119193,0.9899643014794225,0.3705452879269918,0.8931905627250671,0.8120673894882202,0,0,0,0,0,0
16,1348.4636351135007,2.387069568771631,1.9379884667673024,0.9779747432488133,0.41381317377090454,0.9801528453826904,0.7532055377960205,0,0,0,0,0,0
17,1139.0999387351687,1.9051695812447043,1.9283879048843349,0.973115432925868,0.39672649900118506,0.9619317054748535,0.8046882152557373,0,0,0,0,0,0
18,1235.322617665539,2.0250449302033795,1.9165701383926566,0.9630303790472886,0.3946724832057953,0.9496442079544067,0.9695364236831665,0,0,0,0,0,0
19,1076.8532180272505,1.8620467005548305,1.928032613456529,0.9587423483807717,0.39731721580028534,0.960532546043396,1.0353994369506836,0,0,0,0,0,0
20,1143.6955869888618,1.5198093008018372,1.9365902069128318,0.9629184086908442,0.401262159148852,0.9623385071754456,0.7470664978027344,0,0,0,0,0,0
21,1213.4144625884894,1.7392472278322462,1.9363359540516247,0.9672140614988515,0.4025672276814779,0.9607536196708679,0.7191198468208313,0,0,0,0,0,0
22,1195.20169071818,1.5901266741775237,1.928332585908642,0.9601062899372509,0.3916243314743042,0.9932790994644165,0.7728292346000671,0,0,0,0,0,0
23,1201.451528663271,1.6046926171526548,1.9254253956993619,0.9519195174014526,0.3971451073884964,0.9715278744697571,0.6413908004760742,0,0,0,0,0,0
24,1316.0287892233398,1.798898470661003,1.9234725139718445,0.9562760486165022,0.3715124030907949,0.8728759288787842,0.9004507064819336,0,0,0,0,0,0
25,1218.129203573094,1.457563769342899,1.9223219905182949,0.9720769930417306,0.36898860832055413,0.8870117664337158,0.8647773861885071,0,0,0,0,0,0
26,1132.5407325151916,1.3817701730852057,1.9309822529909295,0.9832092841147224,0.39542548855145776,0.9143436551094055,0.8261075615882874,0,0,0,0,0,0
27,1321.18742136655,1.5522469832296648,1.9323177620802263,0.9819765825873891,0.4008542398611704,0.9676203727722168,0.804140567779541,0,0,0,0,0,0
28,1098.7465502602988,1.4954117478577493,1.9320889977187536,0.9770663473642524,0.4040976812442144,0.9987892508506775,0.7451900243759155,0,0,0,0,0,0
29,1282.4954082673569,1.707409188217781,1.92498849588995,0.9750871180771942,0.37774385015169776,0.9288688898086548,0.7851120233535767,0,0,0,0,0,0
30,1062.2382781703768,1.6183644969251842,1.914052151831931,0.9772031538113537,0.40392925341924035,0.9520410299301147,1.0714185237884521,0,0,0,0,0,0
31,1219.2850832166769,1.5230525516891897,1.9166936795726957,0.9789676866675217,0.4110862811406454,1.0176353454589844,0.7135480046272278,0,0,0,0,0,0
32,1366.8930319891656,1.9661494974549527,1.9238409845333173,0.9693024286708758,0.3963486850261688,0.9328935146331787,0.8844360709190369,0,0,0,0,0,0
33,1303.853551379865,2.016881981357801,1.9367805294234515,0.9601137774645113,0.4141506304343542,1.0763111114501953,0.9046655893325806,0,0,0,0,0,0
34,1101.2480518018394,1.546998255938485,1.9291911328804376,0.9613383156531283,0.40785161654154456,1.0065940618515015,0.8948660492897034,0,0,0,0,0,0
35,1345.634258516437,1.757069417297192,1.930198242727204,0.9623349071304975,0.3926798949639002,0.9770851135253906,0.7682355642318726,0,0,0,0,0,0
36,1045.2098679153837,1.693740362571568,1.9157463418351175,0.9634891771432886,0.4112407763799032,1.0278892517089844,0.8840108513832092,0,0,0,0,0,0
37,1118.243808079646,1.8504983420208199,1.9187070419199161,0.9653763002837262,0.3679692347844442,0.891975462436676,0.6998798847198486,0,0,0,0,0,0
38,1065.1484418729005,1.9418380581654613,1.9246024767774175,0.9649189192884942,0.43718802432219184,1.1256804466247559,0.8665513396263123,0,0,0,0,0,0
39,1095.9682566092415,1.6882051039497037,1.9097952318613352,0.9624400610112819,0.40597025801738107,1.0549622774124146,0.8315961360931396,0,0,0,0,0,0
40,1048.1990585079488,1.760128168977117,1.9027396017916893,0.9600485332932692,0.3824290335178375,0.9115599393844604,0.7330604195594788,0,0,0,0,0,0
41,1114.6040843001713,1.965986327473244,1.9187181602065189,0.9622950164714792,0.40084004402160645,0.9957156777381897,0.7634851932525635,0,0,0,0,0,0
42,1164.774564131525,1.7813037180992866,1.9179589701873767,0.9658164900220619,0.37589868903160095,0.908679723739624,0.8154768943786621,0,0,0,0,0,0
43,1237.70911895652,1.738869431901608,1.930404263480812,0.9690667673695869,0.38033551474412286,0.9385031461715698,0.7834374904632568,0,0,0,0,0,0
44,1108.5636858702724,1.8173403961648462,1.9138824391595395,0.9691398604870388,0.41388573249181115,1.0751276016235352,0.9541404843330383,0,0,0,0,0,0
45,1110.5108607132236,1.8481580412385212,1.9173946835490792,0.9689595116475511,0.4069415579239527,0.990196943283081,0.8937727212905884,0,0,0,0,0,0
46,1264.7289889360459,1.6419537935337143,1.9225564008722795,0.9685111080280727,0.4242069125175476,1.0415632724761963,0.7653182744979858,0,0,0,0,0,0
47,1115.7486400232901,1.7500228632281751,1.9154603965207118,0.9681693600074673,0.38773276160160697,0.9586218595504761,0.9476749897003174,0,0,0,0,0,0
48,1132.1226846909972,1.5844142533949246,1.9274607595716808,0.9662171338728773,0.41902072727680206,1.0576882362365723,0.6342858672142029,0,0,0,0,0,0
49,1261.5319758745802,1.7813813240320537,1.9140256366849333,0.9644976744797089,0.40691904723644257,1.0383827686309814,0.7867903709411621,0,0,0,0,0,0
50,1098.5938445510455,1.574578973195252,1.926320240864932,0.9630719462422666,0.3781149312853813,0.9101386666297913,0.6686758995056152,0,0,0,0,0,0
